Company Name,URL,Orbit,Distribution Channel,Tags,Image
Mind My Business,http://www.mindmybusinessnyc.com/,Safety,B2B,"Governance, Business Intellegence",mmb.png
Modria,http://modria.com,Safety,"B2B, B2G",Order,modria.png
More Aqua Inc,http://www.moreaqua.com/,Core,"B2B, B2G",Water Conservation,moreaqua.png
Mozio,http://www.mozio.com/,Safety,"B2C, B2B",Transport,mozio.png
mPowerd ,https://www.mpowerd.com,Assurance,B2C,Solar,
MuniRent,http://munirent.co,Assurance,B2G,"Finance, Sharing Economy",munirent.png
NationSwell,http://nationswell.com/,Assurance,B2C,Transparency,nationswell.png
Navdy,http://navdy.com,Safety,B2C,"Transport, Smart Car, IOT",navdy.png
Neighbor.ly,http://neighbor.ly,Assurance,"B2G, B2C","Finance, Crowdfunding",neighborly.png
Nest Labs,http://nest.com,Assurance,B2C,"Energy, Home, HVAC",nest.png
Nuleds,http://www.nuleds.com/,Assurance,"B2B, B2C","Energy, Home",nuleds.png
oBilet,http://obilet.com,Safety,B2C,Transportation,
Ohmconnect,http://ohmconnect.com,Assurance,"B2C, B2B",Energy,
OndaVia ,http://ondavia.com/,Core,"B2B, B2G",Water Quality,
OpenGov,http://opengov.com,Assurance,B2G,Finance,opengov_light.png
Opower,http://opower.com,Assurance,B2C,Energy,opower.png
Paracosm,https://paracosm.io/,Assurance,B2B,Transparency,
Park Jockey,https://parkjockey.com/,Safety,"B2B, B2C","Transport, Parking",
ParkWhiz,http://www.parkwhiz.com/,Safety,B2C,"Transport, Parking",
Pink Park ltd,http://www.pinkpark.co.il/,Safety,"B2B, B2C","Transport, Parking",
PlaceIlive,http://placeilive.com/,Safety,B2C,,
Placemeter,http://placemeter.com/,Safety,"B2G, B2B, B2C",Urban Planning,
Plugsurfing,Http://plugsurfing.com,Assurance,"B2B, B2C","Energy, Transportation",
PlumLife,plumlife.com,Assurance,"B2B, B2C","Energy, Smart Homes",
Power Station,http://pwrstation.com,Assurance,"B2B, B2C","Energy, Solar",
ProductBio,http://productbio.com/,Safety,"B2B, B2G","Governance, Big Data",
Provender,Http://provender.com,Core,B2B,"Food, Local Sourcing",
"PublicStuff, Inc.",http://www.publicstuff.com,"Safety, Assurance",B2G,"Wellness, ",
Rach.io,Http://rach.io,Core,B2C,Water,
Radiator Labs,Http://radiatorlabs.com,Assurance,B2B,"Energy, HVAC",
Reaction,Http://reactionhousing.com,Assurance,B2B,Resilience,
Refresh Water,http://www.re-freshwater.com,Assurance,B2B,,
"RelayRides, Inc.",http://www.relayrides.com,Safety,"B2C, B2B",,
Revivn,Http://revivn.com,"Core, Safety",B2B,"Waste, Opportunity",
Revolv,http://revolv.com/,Safety,B2C,Smart Home,
Rides,http://rides.com.mx,Safety,B2C,Shared Rides,
Ridescout,http://ridescoutapp.com,Safety,B2C,Shared Rides,
Riskpulse,http://riskpulse.com,Assurance,"B2B, B2G",Disaster Preparedness,
RubyRide,http://rubyride.co,Safety,"B2B, B2C",Ride Sharing,
Seamless Docs,Http://seamlessdocs.com,Safety,B2G,"Governance, Document Management",
"SeeClickFix, Inc.",http://seeclickfix.com,Safety,B2G,,
Sense6,http://sense6.net/,Safety,B2C,Smart Jewlery,
Senseware,http://senseware.co,Safety,"B2B, B2G",Senors,
ShareRoller,http://www.shareroller.com/,Safety,B2B,,
Sidecar,Http://side.cr,Safety,B2C,,
Sistine Solar,http://sistinesolar.com,Assurance,"B2B, B2G",,
Skycatch,http://skycatch.com,Safety,"B2B, B2G",,skycatch.png
Skylock,https://skylock.cc/,Safety,B2C,,
Smart Picture Technologies,http://smartpicture3d.com/,Assurance,B2B,,
Smartmumbaikar,http://www.m4mum.com/,Safety,B2C,,
SmartProcure,http://smartprocure.us,Assurance,"B2B, B2G",Financial,
SnapInspect,http://snapinspect.com,Assurance,B2G,,
Social Bicycles,Http://socialbicycles.com,Safety,B2B,,
SpaceShip App,http://www.spaceshipapp.com/,Safety,B2C,,
SpravWater,Http://SpravWater.com,Core,"B2C, B2B",,
Sungage,http://sungage.net,Assurance,B2B,,
Superpedestrian,http://superpedestrian.com,Safety,B2C,,
Sustainable MicroFarms,https://angel.co/sustainable-microfarms-1,Core,B2C,,
T Dispatch,http://tdispatch.com,Safety,"B2B, B2G",,
tado�� GmbH,http://tado.com,Assurance,B2C,"Home, IOT, Energy",
Tevatronic,http://www.tevatronic.net/,Core,B2B,,
Textizen,https://www.textizen.com,Safety,B2G,"311, Transparency",
The Constituent,http://the-constituent.com,Assurance,B2B,,
The Transit App,http://thetransitapp.com,Safety,"B2C, B2G","Transport, Public Transit",
