Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
Pink Park ltd,,Safety,Mobility|Parking,B2B|B2C,,,,,,http://www.pinkpark.co.il/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place I Live,Practica Capital,Safety,consumer services,B2B|B2C,510,7,497,0,https://mattermark.com/app/data/97384/place-i-live,http://placeilive.com,"PlaceILive.com combines relevant, objective and systematic information about the quality of living environment and real estate. I know, where I live!",No,,,,big data|data mining|data visualization|health & wellness|location based services (lbs),7,7,0,0,7,0,0,23218,26788,-13,35088,-34,,,,,,,10111,,,,,57,2,2750,63,30,110,1501,1501,0,1497,0,3,2,50,3,5,-40,77,75,3,68,13,01/01/12,Pre Series A,0,01/01/13,,vilnius,vilnius,,,ltu,EU,No,34,131,0
PlaceIlive,,Safety,Open Data,B2C,,,,,,http://placeilive.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placemeter,New Enterprise Associates|Kima Ventures|TriplePoint Capital|Scrum Ventures|Correlation Ventures|Techstars|MI Ventures LLC|FundersClub|Collaborative Fund|New Enterprise Associates|Qualcomm Ventures|Techstars|NYC 2013 Spring,Safety,internet of things|mobile|retail,B2B|B2C|B2G,309,16,259,33,https://mattermark.com/app/data/110313/,http://placemeter.com,Placemeter is a platform that senses and unlocks massive amounts of data about real-time activity in physical places.,No,,,,big data|internet of things|local,26,24,2,8,17,9,53,9074,9197,-1,9140,-1,,,,,,,1930,,,,,38,31,23,96,84,14,586,577,2,555,6,52,52,0,74,60,23,338,334,1,318,6,01/01/12,A,7718000,09/18/14,6000000,new york,new york,new york,NY,usa,NA,No,13,98,61224.49
PlugSurfing,,Assurance,automotive|mobile,B2B|B2C,67,,67,-4,https://mattermark.com/app/data/179147/plugsurfing,http://plugsurfing.com,"Find charging points & charging stations and pay with PlugSurfing, Europe-wide. PlugSurfing has over 15.000 charging points for electric cars.",No,,,,consumer goods|it|social media,10,8,2,25,4,6,150,560,489,15,389,44,,,,,,,120,,,,,0,0,,0,0,,805,285,182,265,204,4,4,0,6,,,69,68,1,66,5,01/01/12,No Known Funding,,,,berlin,berlin,,,deu,EU,No,,,
PlumLife,Techstars|Techstars,Assurance,hardware|internet of things|mobile,B2B|B2C|SaaS,92,1,82,0,https://mattermark.com/app/data/118722/plumlife,http://plumlife.com,Plum allows for control of household light and electrical sockets from a mobile phone.,No,,,,cloud computing|consumer electronics|internet of things|women,5,4,1,25,4,1,25,2832,2763,2,1634,73,,,,,,,1104,,,,,0,0,,1,1,0,1933,1904,2,1896,2,8,8,0,20,15,33,34,34,0,34,0,01/01/09,A,3650000,06/02/15,2900000,austin,austin,austin,TX,usa,NA,No,5,1,2900000
Points,,Safety,advertising|e-commerce|hardware,B2B,27,,27,6,https://mattermark.com/app/data/189910/,http://pointssign.com,"Introducing Points. A rotating, digital directional sign that helps you find the best of what's happening nearby.",No,,,,advertising platform|social commerce,2,1,1,100,1,1,100,83,65,28,74,12,,,,,,,129,,,,,0,0,,0,0,,2422,2415,0,2398,1,13,13,0,10,10,0,17,17,0,16,6,,No Known Funding,,,,new york,brooklyn,new york,NY,usa,NA,No,,,
Postmates,Naval Ravikant|Shervin Pishevar|Dave Morin|Scott Banister|Russel Simmons|Thomas Korte|Matrix Partners|Crosslink Capital|David Sacks|Maneesh Arora|Slow Ventures|Expansion Venture Capital|Spark Capital|Tiger Global Management|Slow Ventures|Kindred Partners|Kindred Partners|Founders Fund|Scott Banister|Matrix Partners|Crosslink Capital|SoftTech VC|Scott Banister|Jawed Karim|Paige Craig|AngelPad Fall 2010,Safety,consumer services|e-commerce|food & beverages|mobile,B2C|Marketplace,3258,199,757,128,https://mattermark.com/app/data/61276/postmates,http://postmates.com,"Postmates has developed proprietary logistics software that dispatches and guides couriers through major metropolitan areas to deliver local goods including prepared food, groceries and retail goods. The company has partnered with merchants in San Francisco, D.C., Seattle and New York, including Whole Foods, Momofuku Milk Bar, Hapa Ramen and The Meatball Shop, among others.",No,,,,local|logistics|pioneer250|shipping,733,708,25,4,414,319,77,909227,915639,-1,896191,1,,23151,,23151,,0,51283,,,,,638,536,19,2481,3414,-27,59489,58756,1,57003,4,612,618,-1,1128,5623,-80,1736,1698,2,1580,10,01/01/11,Late,137200000,06/25/15,80000000,bay area,san francisco,bay area,CA,usa,NA,Yes,4,512,156250
PredPol,South Swell Ventures|Ken Kannapan|Barbara Scherer,Safety,analytics|government,B2B|SaaS,157,2,147,-1,https://mattermark.com/app/data/92512/predpol,http://predpol.com,PredPol is an innovative and proven policing technology that helps law enforcement predict and prevent crime.,No,,,,business intelligence,22,24,-2,-8,23,-1,-4,683,706,-3,918,-26,,,,,,,780,,,,,13,13,0,48,351,-86,1316,1315,0,1317,0,11,7,57,7,5,40,508,491,3,430,18,01/01/12,A,3675000,06/16/14,2375000,santa cruz,santa cruz,,CA,usa,NA,No,16,27,87962.96
ProductBio,,Safety,Procurement,B2B|B2G,,,,,,http://productbio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductBio.com,Code for America Accelerator|500 Startups|500 Startups Batch 10 (Fall 2014),Assurance,analytics|cleantech|cloud computing|e-commerce|media|retail,B2B|Marketplace,145,,116,0,https://mattermark.com/app/data/195252/,http://productbio.com,Procurement tool that helps buyers to find and purchase sustainable products.,No,,,,big data|it|social commerce|supply chain|sustainability,12,13,-1,-8,6,6,100,13,19,-32,20,-35,,,,,,,293,,,,,1,0,,3,12,-75,255,254,0,254,0,7,4,75,4,7,-43,12,12,0,10,20,01/01/12,Pre Series A,0,,,,,,,,,No,,,
Provender,FounderFuel|Business Development Bank of Canada|Real Ventures|BDC Venture Capital|LP Maurice|Frederic Boulanger|Michel Murdock|FounderFuel|Techstars|Boston 2015 Summer,Core,agriculture|e-commerce|food & beverages,B2B|B2C|Marketplace,186,6,163,0,https://mattermark.com/app/data/180255/,http://provender.com,Provender is a marketplace built for your kitchen. We're a direct connection to dozens of local farms. Provender is there to help you find fresh food.,No,,,,social commerce|verifiedga|wholesale,23,21,2,10,12,11,92,974,984,-1,736,32,,,,,,,1398,,,,,0,0,,0,0,,94,94,0,94,0,9,,,1,1,0,,,,,,01/01/13,Pre Series A,1100000,08/07/14,800000,montréal,montréal,,QC,can,NA,No,15,49,16326.53
