Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
Revivn,500 Startups|500 Startups Batch 10 (Fall 2014),"Core, Safety",cleantech|crowdfunding|hardware,B2B|B2C,151,,147,3,https://mattermark.com/app/data/193357/revivn,http://revivn.com,Revivn helps companies repurpose their unused hardware to underserved communities.,No,,,,collaborative consumption|hardware|recycling|social good|sustainability,4,4,0,0,4,0,0,80,80,0,58,38,,,,,,,339,,,17,1894,0,1,-100,4,56,-93,1081,1075,1,1073,1,2,1,100,1,1,0,68,66,3,59,15,01/01/13,Pre Series A,0,,,new york,new york,new york,NY,usa,NA,No,,,
Revolv,Techstars|Techstars|Techstars Ventures|SK Ventures|American Family Insurance|Foundry Group|Drummond Road Capital|Foundry Group|John Ives|SK Ventures|Social Leverage|Techstars|Boulder 2012 Summer,Safety,hardware|internet of things,B2B|B2C,328,5,319,-2,https://mattermark.com/app/data/93382/revolv,http://revolv.com,"Revolv unifies the best-selling smart home devices like Nest thermostat, Sonos, Philips Hue, Belkin WeMo, Yale & Kwikset locks, Insteon, and more into a single smartphone app. Control & monitor while at home or away, or create automated actions from sensors, time, geo-location or on-demand triggers.",No,,,,internet of things,22,21,1,5,19,3,16,4444,4944,-10,6091,-27,,,,,,,7559,,,,,5,4,25,20,33,-39,13746,13751,0,13763,0,9,7,29,7,8,-13,83,83,0,81,2,01/01/09,Exited (acquired),7318000,11/25/13,4500000,boulder,boulder,boulder,CO,usa,NA,No,23,58,77586.21
Rides,,Safety,Mobility|Ride Sharing,B2C,,,,,,http://rides.com.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridescout,,Safety,energy|mobile|transportation,B2C,110,18,110,-6,https://mattermark.com/app/data/135625/ridescout,http://ridescoutapp.com,"RideScout is a mobile app that brings all ground transportation options to the palm of your hand in real time, including: public transit, taxi, bus, metro, subway, bikeshare, car share, carpool, driving, walking, and more. Sort and compare rides by type, cost, and time to choose your optimal route given your current circumstances.",No,,,,location based services (lbs)|sustainability,38,37,1,3,27,11,41,1981,2071,-4,1937,2,369,764,-52,1907,-81,0,6070,,,,,281,69,307,694,897,-23,15796,15857,0,15937,-1,20,21,-5,54,50,8,358,348,3,316,13,01/01/11,Exited (acquired),2600000,03/18/14,2600000,austin,austin,austin,TX,usa,NA,Yes,19,113,23008.85
Riskpulse,,Assurance,Resilience|Management,B2B|B2G,118,,118,0,https://mattermark.com/app/data/225829/,http://riskpulse.com,"Manage your business risks caused by extreme cold, summer heat, hurricanes, earthquakes, and more.",No,,,,big data|supply chain,,,,,,,,1254,831,51,224,460,,,,,,,1025,,,,,30,11,173,65,145,-55,33,30,10,30,10,6,6,0,3,2,50,,,,,,,Late,2527500,,,austin,austin,austin,TX,usa,NA,No,,,
Rubicon,Nima Capital|Goldman Sachs|Wellington Management|Henry Kravis|Leonardo DiCaprio|Bill Gatton|Brad Kelley|Bruce Lunsford|Chris Sullivan|El Paso Advisors|QuarterMoore|Richmond Global|Rotunda Capital Partners|Spouting Rock Investments,Assurance,cleantech|consulting|waste,B2B,514,16,136,-355,https://mattermark.com/app/data/256918/,http://rubiconglobal.com,"Rubicon Global provides comprehensive waste stream solutions that allow companies to reduce operating expenses, implement recycling programs and save money through waste and recycling initiatives.",No,,,,,124,113,11,10,,,,1302,1287,1,735,77,,,,,,,690,,,,,1,0,,2,27,-93,20858,20867,0,20887,0,30,34,-12,68,124,-45,1724,1678,3,1361,27,01/01/08,C,80000000,09/17/15,50000000,atlanta,atlanta,atlanta,GA,usa,NA,No,1,0,0
RubyRide,,Safety,mobile|transportation,B2B|B2C|Subscription,71,10,71,0,https://mattermark.com/app/data/222328/future-transit-systems-dba-rubyride,http://rubyride.co,RubyRide is the modern alternative to car rentals and vehicle ownership. Your own personal driver and car at the touch of a button!,No,,,,logistics,17,18,-1,-6,12,5,42,100,108,-7,102,-2,,,,,,,12,,,,,0,0,,0,0,,622,621,0,621,0,7,5,40,9,6,50,164,162,1,158,4,01/01/13,Pre Series A,75000,11/09/13,75000,phoenix,phoenix,phoenix,AZ,usa,NA,No,24,92,815.22
Scytl,Balderton Capital|Nauta Capital|Vy Capital|Adams Street Partners|Industry Ventures|Vulcan Capital,Safety,government,B2B,515,95,231,378,https://mattermark.com/app/data/41844/,http://scytl.com,"Scytl innovative election modernization, online voting and eGovernance technology is helping organizations worldwide improve democracy, citizen empowerment and public transparency.",No,,,,hardware,368,372,-4,-1,346,22,6,13017,11396,14,8258,58,,,,,,,752,,,,,11,10,10,32,37,-14,643,640,0,637,1,16,9,78,38,18,111,2340,2315,1,2238,5,01/01/01,B,113200000,08/06/14,104000000,barcelona,barcelona,,,esp,EU,No,15,1062,97928.44
SeamlessDocs,New York Angels|Code for America Accelerator|Urban.Us|SoundBoard Angel Fund|Entrepreneurs Roundtable Accelerator,Safety,enterprise software|government|human resources|human resources hr,B2B|B2G,236,15,186,-246,https://mattermark.com/app/data/74818/seamlessdocs-bizodo,http://seamlessdocs.com,"SeamlessDocs is the easiest and most powerful way to bring your forms and PDFs to the next level. In seconds use the powerful tools to convert them into fillable, smart online versions that can be completed and eSigned from any device.",No,,,,productivity|project management|small & medium sized business,25,24,1,4,22,3,14,39675,42731,-7,35019,13,,,,,,,4805,,,,,0,0,,0,5,-100,2186,2187,0,2180,0,5,5,0,2,3,-33,63,60,5,58,9,01/01/11,Pre Series A,1225000,07/01/13,900000,new york,new york,new york,NY,usa,NA,No,28,138,6521.74
SeeClickFix,O'Reilly AlphaTech Ventures|Omidyar Network|LaunchCapital|Connecticut Innovations|Elm Street Ventures|O'Reilly AlphaTech Ventures|Omidyar Network,Safety,government|mobile,B2G,294,9,180,-744,https://mattermark.com/app/data/27863/,http://seeclickfix.com,"SeeClickFix encourages residents to become active citizens, providing tools to help them take care of and improve their city by reporting non-emergency issue in their neighborhood.",No,,,,local|mobile apps|politics|social media|web application,30,27,3,11,17,13,76,203775,204709,0,163977,24,,1209,,1209,,0,5346,,,,,246,80,208,543,530,2,11,11,0,11,0,,,,,,,166,164,1,157,6,01/01/08,A,2900000,07/01/15,1400000,new haven,new haven,,CT,usa,NA,Yes,4,21,66666.67
Sense6,Wearable World Labs|Wearable World Labs Winter 2014|Wearable World Labs Winter 2014,Safety,hardware|internet of things|wearables,B2C,50,,50,-2,https://mattermark.com/app/data/269615/,http://artemisfashion.com,Artemis: Smart-Jewelry For Personal Safety,No,,,,,,,,,,,,2,3,-33,3,-33,,,,,,,238,,,,,0,0,,1,53,-98,307,307,0,308,0,1,1,0,2,2,0,,,,,,,Pre Series A,0,,,bay area,redwood city,bay area,CA,usa,NA,No,,,
Senseware,CAH Capital|CIT GAP Funds|Blu Ventures (Blu Venture Investors),Safety,internet of things,B2B|B2G,146,4,84,-227,https://mattermark.com/app/data/274581/,http://senseware.co,Senseware web enables any physical environment using modular plug-and-play wireless sensor network,No,,,,internet of things,6,6,0,0,1,5,500,154,155,-1,23,570,,,,,,,151,,,,,0,0,,0,1,-100,60,59,2,58,3,3,3,0,1,1,0,17,17,0,16,6,01/01/13,Pre Series A,1000000,06/26/15,1000000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,4,12,83333.33
Share The Bus,Maple Leaf Angels,Safety,transportation,B2B|B2C,239,1,212,72,https://mattermark.com/app/data/10902974/,http://sharethebus.com,Rideshare by Bus Service,No,,,,social good,8,8,0,0,,,,2278,2466,-8,2395,-5,,,,,,,426,,,,,1,0,,1,9,-89,1100,1088,1,1039,6,34,34,0,5,16,-69,8,7,14,5,60,01/01/14,Pre Series A,850000,08/20/15,750000,montral,montral,,,can,NA,No,2,2,375000
ShareRoller,,Safety,,B2B,,,,,,http://www.shareroller.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidecar,SoftBank Capital|Correlation Ventures|Avalon Ventures|SoftBank Capital|Lightspeed Venture Partners|Union Square Ventures|Richard Branson|Avalon Ventures|Vast Ventures|Josh Silverman|Konstantin Othmer|Jared Kopf|Robert Goldberg|Lisa Gansky|Mark Pincus|First Step Fund|Lerer Hippeau Ventures|Huron River Ventures|SV Angel|Spring Ventures|Jeff Clarke|Huron River Ventures|Lightspeed Venture Partners|Google Ventures|Lerer Hippeau Ventures,Safety,e-commerce|hospitality|mobile|transportation,B2C|Marketplace,229,29,120,-644,https://mattermark.com/app/data/91582/,http://side.cr,Sidecar offers 'Shared Rides',No,,,,social commerce,89,90,-1,-1,81,8,10,105869,121447,-13,156572,-32,3524,3453,2,3617,-3,0,14633,,,,,203,288,-30,1226,3948,-69,20257,20257,0,20229,0,86,86,0,41,51,-20,1183,1177,1,1155,2,01/01/12,C,35000000,09/15/14,15000000,bay area,san francisco,bay area,CA,usa,NA,Yes,13,254,59055.12
Simpa Networks,ENGIE (formerly GDF SUEZ)|Overseas Private Investment Corp|Invested Development,Assurance,cleantech|energy,B2B|B2C,202,35,41,-274,https://mattermark.com/app/data/51379/simpa-networks,http://simpanetworks.com,Simpa Networks provides access to clean energy on a pay-as-you-go basis for customers at the base of the economic pyramid.,No,,,,clean energy|social good|solar|sustainability,133,131,2,2,114,19,17,1232,1271,-3,2196,-44,,,,,,,1429,,,,,1,2,-50,89,7,1171,1275,1271,0,1249,2,56,62,-10,4,19,-79,2126,2120,0,2103,1,01/01/10,Pre Series A,5100000,12/18/14,4000000,bay area,san francisco,bay area,CA,usa,NA,No,10,196,20408.16
Sistine Solar,,Assurance,advertising|cleantech|energy|hospitality|marketing,B2B|B2C|B2G,7,,7,-125,https://mattermark.com/app/data/245321/,http://sistinesolar.com,"We design beautiful custom solar panels and seamlessly integrate them into rooftops, outdoor furniture, and canopies.",No,,,,brand marketing|clean energy|design|solar,,,,,,,,12,19,-37,84,-86,,,,,,,162,161,1,158,3,2,0,,2,3,-33,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,,,
Skeleton Technologies,Harju Elekter,Assurance,cleantech|energy,B2B,163,8,82,129,https://mattermark.com/app/data/119437/skeleton-technologies,http://skeletontech.com,Skeleton Technologies Group is a developer and manufacturer of breakthrough ultracapacitors cells.,No,,,,sustainability,23,21,2,10,14,9,64,940,872,8,742,27,,,,,,,271,,,,,0,0,,0,0,,677,541,25,414,64,242,165,47,316,115,175,58,57,2,55,5,01/01/09,B,10700000,06/03/15,10700000,tartu,tartu,,,est,EU,No,5,22,486363.64
Skycatch,Avalon Ventures|Nexus Venture Partners|Riverwood Capital|Sherpalo Ventures|Avalon Ventures|ZPark Capital|VegasTechFund|Bee Partners|SierraMaya360|Google Ventures|Ram Shriram|ff Venture Capital|Ellen Levy|Richard Levandov,Safety,drones|hardware|physical security|security,B2B,539,6,395,-506,https://mattermark.com/app/data/141834/skycatch,http://skycatch.com,Scalable Aerial Robotics Platform,No,,,,aerospace|pioneer250,83,79,4,5,57,26,46,16596,18125,-8,24945,-33,,,,,,,3728,,,,,91,24,279,192,445,-57,13013,13013,0,12920,1,38,918,-96,31,535,-94,852,805,6,715,19,01/01/13,B,35300000,08/20/15,22000000,bay area,san francisco,bay area,CA,usa,NA,No,2,3,7333333.33
Skylock,,Safety,Mobility|Cycling,B2C,,,,,,https://skylock.cc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Picture Technologies,,Assurance,analytics|mobile,B2B,95,,95,23,https://mattermark.com/app/data/244934/,http://smartpicture3d.com,"The Smart Picture Measurement Cloud is a platform designed to connect field services personnel with headquarters when measurements are required to generate a quote, estimate or proposal.",No,,,,,,,,,,,,260,181,44,127,105,,,,,,,31,,,,,0,0,,0,0,,820,807,2,777,6,11,11,0,11,6,83,,,,,,,No Known Funding,,,,austin,austin,austin,TX,usa,NA,No,,,
Smartmumbaikar,,Safety,mobile|transportation,B2C,78,,78,-314,https://mattermark.com/app/data/219087/smartmumbaikar-com,http://smartmumbaikar.com,"Share Car & Cab with verified users. Reduce Traffic,Travel Cost & Pollution",No,,,,,,,,,,,,1116,1189,-6,1587,-30,,,,,,,12115,,,,,661,857,-23,2916,2505,16,1656,1656,0,1654,0,1,1,0,10,5,100,,,,,,,No Known Funding,,,,,,,,,,No,,,
SmartProcure,Code for America Accelerator,Assurance,government|mobile,B2B|B2G,347,74,192,-386,https://mattermark.com/app/data/101470/,http://smartprocure.us,See why SmartProcure's government purchase order database can help boost government sales and transform government procurement.,No,,,,,92,84,8,10,57,35,61,3891,3726,4,3307,18,,,,,,,2007,,,,,2,1,100,5,7,-29,113,112,1,111,2,1,,,1,,,283,279,1,266,6,01/01/11,A,1825000,08/05/13,25000,miami,deerfield beach,miami,FL,usa,NA,No,27,727,34.39
SnapCar,Carlson Wagonlit Travel|Charles Petrucelli,Safety,hospitality|transportation,B2C,119,6,92,-360,https://mattermark.com/app/data/239264/,http://snapcar.com,Snapcar is a taxi service.,No,,,,,15,17,-2,-12,11,4,36,4574,3629,26,3439,33,,,,,,,158,,,,,3,0,,7,14,-50,1891,1885,0,1860,2,53,42,26,24,36,-33,70,69,1,65,8,01/01/12,Pre Series A,2000000,12/09/14,2000000,paris,paris,,,fra,EU,No,11,40,50000
SnapInspect,,Assurance,real estate,B2G,32,,32,-262,https://mattermark.com/app/data/141786/,http://snapinspect.com,"SnapInspect is a simple property inspection app for property managers. Save 75% of the time you spend on inspections. iPhone, Android and web software",No,,,,property management,4,4,0,0,3,1,33,1512,1263,20,1767,-14,,,,,,,16,,,,,0,0,,0,0,,,,,,,,,,,,,44,43,2,41,7,01/01/11,No Known Funding,,,,new york,,new york,NY,usa,NA,No,,,
Social Bicycles,New York Angels|New York Angels|Esther Dyson|Karl Ulrich,Safety,cleantech|internet of things|mobile|transportation,B2B|B2C,135,16,104,-367,https://mattermark.com/app/data/50132/,http://socialbicycles.com,Social Bicycles offers affordable and scalable bikeshare technology. Each of our bikes has a GPS-enabled lock that works with regular bike racks.,No,,,,social media,25,25,0,0,23,2,9,3706,3709,0,3603,3,,235,,235,,0,2094,,,,,18,13,38,49,96,-49,3700,3695,0,3685,0,7,7,0,6,8,-25,271,266,2,251,8,01/01/11,Pre Series A,1100000,05/01/13,1100000,new york,new york,new york,NY,usa,NA,Yes,30,336,3273.81
Solar Universe,RockPort Capital Partners,Assurance,cleantech|energy|solar power,B2B|B2C,273,109,73,-332,https://mattermark.com/app/data/56248/solar-universe,http://solaruniverse.com,A residential and commercial solar panel installation franchisor with over 40 locations across the country.,No,,,,,214,214,0,0,202,12,6,1960,1975,-1,1478,33,,,,,,,842,,,,,3,5,-40,9,11,-18,,,,,,,,,,,,1498,1471,2,1384,8,01/01/08,B,7000000,01/25/11,7000000,bay area,livermore,bay area,CA,usa,NA,No,57,2069,3383.28
Solidia Technologies,BASF|Bill Joy|BP Ventures|Bright Capital|Kleiner Perkins Caufield & Byers|Lafarge|Total Energy Ventures|RU-COM|BASF Venture Capital|Kleiner Perkins Caufield & Byers|BP Ventures|Bright Capital,Assurance,cleantech|enterprise software,B2B,114,6,86,-197,https://mattermark.com/app/data/81091/solidia-technologies,http://solidiatech.com,Solidia Technologies is a techfirm that makes it profitable to use CO for manufacturingconstruction and industrial products.,No,,,,,42,41,1,2,37,5,14,54,54,0,15,260,,,,,,,813,,,,,15,2,650,39,148,-74,63,63,0,64,-2,,,,,,,920,915,1,909,1,01/01/08,C,27000000,12/09/14,0,chicago,aurora,chicago,IL,usa,NA,No,11,24,0
Sonnenbatterie,Chrysalix SET |eCAPITAL Entrepreneurial Partners AG|Munich Venture Partners|Inven Capital|eCAPITAL Entrepreneurial Partners AG|eCAPITAL Entrepreneurial Partners AG,Assurance,cleantech|energy,B2B|B2C,323,3,304,151,https://mattermark.com/app/data/215846/sonnenbatterie,http://sonnenbatterie.de,"Sonnenbatterie is a global leader in smart energy storage solutions, with its headquarters outside Munich, Germany and North American offices in Los Angeles, CA. Sonnenbatterie has sold over 8,000 smart energy storage units for residential and commercial applications to date. The company utilizes Sony's Fortelion lithium-ion cells in its residential products and boasts an industry-leading 10,000 charge cycles.",No,,,,,20,21,-1,-5,16,4,25,22656,16991,33,16218,40,,,,,,,335,,,,,3,3,0,8,33,-76,703,691,2,674,4,10,10,0,7,5,40,138,132,5,112,23,01/01/10,C,13491790,07/13/15,0,wildpoldsried,wildpoldsried,,,deu,EU,No,3,12,0
SpotHero,OCA Ventures|Lightbank|New World Ventures|Battery Ventures|Techstars|DAN Fund|Insight Venture Partners|OCA Ventures|Pritzker Group Venture Capital|Draper Associates|Bullpen Capital|Battery Ventures|Chicago Ventures|Monkfish Equity|500 Startups|Techstars|Techstars Ventures|Techstars Ventures|Techstars|Lakewest Venture Partners|Bullpen Capital|Battery Ventures|OCA Ventures|Pritzker Group Venture Capital|Lightbank|e.ventures|500 Startups|Chicago Ventures|Draper Associates|Techstars|Pritzker Group Venture Capital|TechStars Excelerate Labs 2012,Safety,mobile|transportation,B2C|Marketplace,597,9,372,-460,https://mattermark.com/app/data/54765/spothero,http://spothero.com,"Find, book & save on both daily & monthly parking with convenient garages, lots & valets near your destination using SpotHero's on-demand parking app & website.",No,,,,android,65,59,6,10,38,27,71,366769,367640,0,360243,2,9953,9796,2,9421,6,0,6410,,,,,62,38,63,165,261,-37,9261,9216,0,9097,2,75,74,1,58,139,-58,874,862,1,790,11,01/01/11,B,27510000,08/19/15,20000000,chicago,chicago,chicago,IL,usa,NA,Yes,2,5,4000000
Stem,RWE Supply & Trading|GE Ventures|Total Energy Ventures|Angeleno Group|Iberdrola|Constellation NewEnergy|Energy Excelerator|Angeleno Group|Greener Capital|GE Ventures|Angeleno Group,Assurance,energy,B2B,355,8,95,-360,https://mattermark.com/app/data/85612/stem,http://stem.com,Stem delivers electricity bill savings to commercial and industrial customers through an integrated solution of cloud-based predictive software and advanced energy storage.,No,,,,clean energy|sustainability,105,101,4,4,77,28,36,1272,1235,3,881,44,,,,,,,1302,,,,,7,6,17,50,11,355,,,,,,,,,,,,964,949,2,894,8,01/01/09,C,73097672,08/13/15,45000000,bay area,millbrae,bay area,CA,usa,NA,No,2,15,3000000
Streetline,Fontinalis Partners|RockPort Capital Partners|Sutter Hill Ventures|True Ventures|Fontinalis Partners|RockPort Capital Partners|Sutter Hill Ventures|Fontinalis Partners|Sutter Hill Ventures|RockPort Capital Partners|True Ventures|Qualcomm Ventures|Sutter Hill Ventures,Safety,government|internet of things|mobile,B2B|B2C|SaaS,-28,-44,98,-379,https://mattermark.com/app/data/5365/,http://streetline.com,"From parking sensors to mobile apps and parking data and analytics, Streetline's technologies help you truly understand and effectively manage parking.",No,,,,,26,26,0,0,36,-10,-28,4653,4794,-3,4741,-2,,,,,,,1564,,,,,8,7,14,29,37,-22,363,364,0,362,0,1,1,0,1,1,0,797,795,0,782,2,,Late,50000000,07/01/14,10000000,bay area,foster city,bay area,CA,usa,NA,No,16,433,23094.69
SunFunder,Schneider Electric|Better Ventures|Khosla Impact|Better Ventures,Assurance,cleantech|crowdfunding|energy|finance|solar power,B2B,109,8,86,-279,https://mattermark.com/app/data/134125/sunfunder,http://sunfunder.com,Financing solar in emerging markets,No,,,,emerging markets|social good|solar,17,18,-1,-6,14,3,21,1110,909,22,660,68,,,,,,,2333,,,,,23,16,44,74,133,-44,,,,,,,,,,,,328,324,1,311,5,01/01/12,A,2500000,11/12/14,2500000,bay area,san francisco,bay area,CA,usa,NA,No,11,65,38461.54
Sungage,,Assurance,energy|finance,B2C,13,,13,107,https://mattermark.com/app/data/150093/sungage,http://sungage.net,Sungage Financial helps homeowners save with solar.,No,,,,solar,20,19,1,5,14,6,43,2,2,0,2,0,,,,,,,112,,,,,0,0,,0,11,-100,238,236,1,234,2,2,2,0,1,2,-50,236,234,1,223,6,01/01/11,No Known Funding,,,,amherst,amherst,,MA,usa,NA,No,,,
Sunrun,Investec|Foundation Capital|Accel Partners|Sequoia Capital|Foundation Capital|Gregory Avis|Parker Weil|Accel Partners|Foundation Capital|Madrone Capital Partners|Accel Partners|Sequoia Capital|Foundation Capital,Assurance,cleantech|energy|solar power,B2B|B2C,3079,1039,110,455,https://mattermark.com/app/data/17735/,http://sunrun.com,"Sunrun is a United States-based provider of residential solar electricity. Sunrun pioneered the use of solar leasing for residential customers and, depending on the applicable state law, offers customers either a lease or a Power Purchase Agreement (PPA) business model whereby homeowners pay for electricity usage but do not buy solar panels outright, reducing the initial capital outlay required by the homeowner.",No,,,,clean energy|solar,1433,1354,79,6,942,491,52,261666,260085,1,253274,3,,,,,,,14911,,,,,57,32,78,165,114,45,15804,15665,1,15294,3,807,603,34,620,418,48,9267,9156,1,8722,6,01/01/07,Exited (ipo),531600000,05/23/14,195000000,bay area,san francisco,bay area,CA,usa,NA,No,17,8349,23356.09
Superpedestrian,Jared Leto|Paul Sagan|Spark Capital|General Catalyst Partners|Spark Capital|David Karp,Safety,enterprise software|hardware|internet of things|transportation,B2C,295,13,257,-526,https://mattermark.com/app/data/207398/superpedestrian,http://superpedestrian.com,"The Copenhagen Wheel transforms your bicycle into a smart electric hybrid, quickly and easily. The Wheel contains a motor, batteries, multiple sensors, wireless connectivity, and an embedded control system. The Wheel learns how you pedal and integrates seamlessly with your motion, multiplying your pedal power 3x--10x. It makes hills feel flat and distances shrink, so you can cycle just about anywhere.",No,,,,consumer electronics,24,23,1,4,20,4,20,40174,39547,2,42634,-6,,,,,,,4654,,,,,16,16,0,93,222,-58,35357,35347,0,35149,1,97,97,0,432,235,84,763,747,2,717,6,01/01/12,B,6100000,09/29/14,4000000,boston,cambridge,boston,MA,usa,NA,No,13,106,37735.85
Sustainable MicroFarms,,Core,Food,B2C,,,,,,https://angel.co/sustainable-microfarms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swyft,Boost VC Tribe 5,Safety,transportation,B2C,183,5,183,11,https://mattermark.com/app/data/265949/,http://swyftapp.com,"Swyft helps you compare real-time availability and pricing of local transit options: Subway, Metro, Train, Bus, Taxi, Rideshare",No,,,,public transit,6,6,0,0,5,1,20,330,302,9,337,-2,4210,4200,0,3584,17,0,3167,,,,,0,3,-100,5,3,67,258,258,0,250,3,5,4,25,4,6,-33,19,18,6,15,27,01/01/14,Pre Series A,300000,07/01/14,300000,,,,,,,Yes,16,49,6122.45
T Dispatch,,Safety,transportation,B2B|B2G|B2C,73,5,51,-566,https://mattermark.com/app/data/114377/,http://tdispatch.com,"T Dispatch is a revolutionary taxi dispatch system, also for limo & delivery services. Get professional online booking tools & fleet management software.",No,,,,cloud computing|travel,15,17,-2,-12,17,-2,-12,30015,28021,7,14945,101,,,,,,,1098,,,,,0,0,,2,17,-88,464,466,0,462,0,1,1,0,3,2,50,161,160,1,156,3,01/01/12,Pre Series A,0,11/26/14,,berlin,berlin,,,,,No,11,55,0
tado° GmbH,Target Partners|Shortcut Ventures GmbH|Siemens Venture Capital|Statkraft Venture Capital|Target Partners|Shortcut Ventures GmbH|BayBG|Target Partners|Shortcut Ventures GmbH,Assurance,consumer electronics|energy|hardware|internet of things|mobile,B2C,250,-3,358,-599,https://mattermark.com/app/data/139809/,http://tado.com,tado° offers smart thermostats and apps for private homes and small businesses that adjust to the residents’ behavior in real time.,No,,,,internet of things,50,53,-3,-6,39,11,28,203553,171213,19,139566,46,,,,,,,7779,,,,,80,94,-15,306,397,-23,76789,75114,2,71455,7,715,690,4,1907,1290,48,154,148,4,128,20,01/01/11,B,33300000,10/07/15,17100000,munich,munich,,,deu,EU,No,1,0,0
TaxiForSure.com,Helion Venture Partners|Blume Ventures|Accel Partners|Accel Partners|Bessemer Venture Partners|Helion Venture Partners|Helion Venture Partners|Blume Ventures|Accel Partners|Helion Venture Partners|Accel Partners|Blume Ventures,Safety,e-commerce|hospitality|transportation|travel,B2C,3042,681,735,-887,https://mattermark.com/app/data/88953/,http://taxiforsure.com,Radio taxi and cab booking service for India.,No,,,,tourism,952,954,-2,0,704,248,35,761073,786823,-3,864970,-12,,89,,185,,0,12835,,,,,450,540,-17,1857,2142,-13,187318,186864,0,181787,3,853,1125,-24,1799,3535,-49,6944,6793,2,6485,7,01/01/11,Exited (acquired),44000000,08/20/14,30000000,bangalore,bangalore,,,ind,AS,Yes,14,5255,5708.85
Tevatronic,,Core,agriculture,B2C,-7,,-7,-112,https://mattermark.com/app/data/192688/,http://tevatronic.net,3D Irrigation Controller,Yes,2500000,7500000,0,home & garden,,,,,,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,gan yavne,gan yavne,,,isr,AS,Yes,,,
Textizen,Code for America Incubator|Code for America Accelerator,Safety,government|healthcare|mobile,B2B|B2G,25,,25,78,https://mattermark.com/app/data/212827/textizen,http://textizen.com,Access. Connect. Engage. It's time to reach people where they are,No,,,,community,4,4,0,0,4,0,0,17,17,0,15,13,,,,,,,1022,,,,,12,1,1100,25,27,-7,209,209,0,209,0,2,2,0,3,2,50,57,57,0,58,-2,01/01/13,Exited (acquired),0,,,philadelphia,philadelphia,philadelphia,PA,usa,NA,No,,,
The Constituent,,Assurance,advertising|crowdfunding|government,B2B|B2C,17,,17,-68,https://mattermark.com/app/data/177193/the-constituent,http://the-constituent.com,The Constituent helps you find your representative and enables you to have your opinion heard.,No,,,,politics|social media,,,,,,,,13,13,0,11,18,,,,,,,3819,,,,,0,0,,0,9,-100,655,654,0,656,0,2,,,2,1,100,,,,,,,No Known Funding,,,,baltimore,fulton,baltimore,MD,usa,NA,No,,,
The Transit App,FounderFuel|FounderFuel,Safety,hospitality|mobile|transportation|travel,B2C|B2G,161,6,142,-342,https://mattermark.com/app/data/140138/the-transit-app,http://thetransitapp.com,Map app for public transit,No,,,,android|ios|iphone|navigation|public transit,11,11,0,0,9,2,22,2328,2403,-3,2624,-11,41463,44379,-7,43287,-4,0,33,,,1046,-97,5,0,,5,6,-17,1401,1333,5,1185,18,81,,,20,9,122,80,80,0,75,7,01/01/13,Pre Series A,0,04/15/13,,montreal,montreal,,QC,can,NA,Yes,30,53,0
